S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
2221,13374,Kund (309),कुण्ड (309),Jogindarnagar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00654200,013374,N,,,,
2222,14406,Kundakh(403),कुन्दख (403),Katoula(Sub-District) / Mandi(District) / Himachal Pradesh(State),00757400,014406,N,,,,
2223,14402,Kundakh (404),डी0पी0एफ0 कुन्दख (404),Katoula(Sub-District) / Mandi(District) / Himachal Pradesh(State),00757000,014402,N,,,,
2224,13394,Kunduni (343),कुनडूनी (343),Jogindarnagar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00656200,013394,N,,,,
2225,14170,Kunehla (540),कुनैहला (540),Baldwara(Sub-District) / Mandi(District) / Himachal Pradesh(State),00733800,014170,N,,,,
2226,13049,Kungri (466),कुँगडी (466),Padhar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00621700,013049,N,,,,
2227,16159,Kunhu (352),कुन्हू (352),Karsog(Sub-District) / Mandi(District) / Himachal Pradesh(State),00932700,016159,N,,,,
2228,13453,Kuni (23),कुणी (23),Lad Bharol(Sub-District) / Mandi(District) / Himachal Pradesh(State),00662100,013453,N,,,,
2229,13349,Kunkar (241),कुनकर (241),Makridi(Sub-District) / Mandi(District) / Himachal Pradesh(State),00651700,013349,N,,,,
2230,13146,Kunnu (582),कुन्नू (582),Padhar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00631400,013146,N,,,,
2231,15460,Kunsot (184),कुनसोट (184),Chachyot(Sub-District) / Mandi(District) / Himachal Pradesh(State),00862800,015460,N,,,,
2232,16228,Kunthari (428),कुन्थरी (428),Karsog(Sub-District) / Mandi(District) / Himachal Pradesh(State),00939600,016228,N,,,,
2233,939624,Kupar (394),कुपड़ (394),Jogindarnagar(Sub-District) / Mandi(District) / Himachal Pradesh(State),,000000,N,,,,
2234,14248,Kurada (42),कुराड़ा (42),Sundarnagar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00741600,014248,N,,,,
2235,15086,Kurani (130),कुरानी (130),Thunag(Sub-District) / Mandi(District) / Himachal Pradesh(State),00825400,015086,N,,,,
2236,16171,Kurna (323),कुरना (323),Karsog(Sub-District) / Mandi(District) / Himachal Pradesh(State),00933900,016171,N,,,,
2237,13713,Kusari (113),कुसरी (113),Dharmpur(Sub-District) / Mandi(District) / Himachal Pradesh(State),00688100,013713,N,,,,
2238,14371,Kushla (142),कुशला (142),Sundarnagar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00753900,014371,N,,,,
2239,13773,Kushmal (24),कुशमल (24),Kotli(Sub-District) / Mandi(District) / Himachal Pradesh(State),00694100,013773,N,,,,
2240,15328,Kut (20),कुट (20),Chachyot(Sub-District) / Mandi(District) / Himachal Pradesh(State),00849600,015328,N,,,,
2241,14438,Kutahar (396),कुटाहर (396),Katoula(Sub-District) / Mandi(District) / Himachal Pradesh(State),00760600,014438,N,,,,
2242,14694,Kutahch (263),कुटाहच (263),Balh(Sub-District) / Mandi(District) / Himachal Pradesh(State),00786200,014694,N,,,,
2243,15763,Kutahchi (327),कुटाहची (327),Pangna(Sub-District) / Mandi(District) / Himachal Pradesh(State),00893100,015763,N,,,,
2244,15781,Kutehar (337),कुटेहड़ (337),Pangna(Sub-District) / Mandi(District) / Himachal Pradesh(State),00894900,015781,N,,,,
2245,14427,Kuthachi(398),कुथाची (398),Katoula(Sub-District) / Mandi(District) / Himachal Pradesh(State),00759500,014427,N,,,,
2246,15064,Kuthehad (513),कुठेहड़ (513),Bagachnogi(Sub-District) / Mandi(District) / Himachal Pradesh(State),00823200,015064,N,,,,
2247,16290,Kuthehad (579),कुठेहड़ (579),Karsog(Sub-District) / Mandi(District) / Himachal Pradesh(State),00945800,016290,N,,,,
2248,13940,Kuthehar (227),कुठेहड़ (227),Sarkaghat(Sub-District) / Mandi(District) / Himachal Pradesh(State),00710800,013940,N,,,,
2249,14764,Kuthehar (338),कुठेहड़ (338),Mandi(Sub-District) / Mandi(District) / Himachal Pradesh(State),00793200,014764,N,,,,
2250,15383,Kuthehar (46),कुठेहड (46),Chachyot(Sub-District) / Mandi(District) / Himachal Pradesh(State),00855100,015383,N,,,,
2251,13313,Kuthera (260),कुठेहड़ा (260),Makridi(Sub-District) / Mandi(District) / Himachal Pradesh(State),00648100,013313,N,,,,
