S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
570,23295,Kotri (143),कोटड़ी (143),Paonta Sahib(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01636300,023295,N,,,,
571,23222,Kotri (47),कोटड़ी (47),Nahan(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01629000,023222,N,,,,
572,23148,Kudli (104),कुडली (104),Nahan(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01621600,023148,N,,,,
573,949355,Kufad,कुफड़,Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),,000000,N,,,,
574,22688,Kufar Kaira (29),कुफरकायरा (29),Nohra(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01575600,022688,N,,,,
575,22510,Kuffar Mond (9),कुफर मोन्ड (9),Pajhota(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01557800,022510,N,,,,
576,22529,Kuffer Matlori (23),कुफर मटलोडी (23),Pajhota(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01559700,022529,N,,,,
577,22679,Kuftu (25),कुफटू (25),Nohra(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01574700,022679,N,,,,
578,22886,Kuftu Adgaliya (152),कुफ्टू अड़गालिया (152),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01595400,022886,N,,,,
579,22825,Kuftu Thalera Ki-Ber (327),कुफटु थलेड़े की-बेड़ (327),Narag(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01589300,022825,N,,,,
580,23443,Kuhant (225),कुहन्ट (225),Shillai(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01650600,023443,N,,,,
581,22765,Kuhat (271),कुहँट (271),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01583300,022765,N,,,,
